iso3,sovereign_iso3,WTO_name,WTO_status,is_EU,is_overseas_territory,is_permanently_inhabited,development_status,is_WTO,is_SID
BLZ,BLZ,Belize,Member,FALSE,FALSE,TRUE,,TRUE,TRUE
BOL,BOL,"Bolivia, Plurinational State of",Member,FALSE,FALSE,TRUE,,TRUE,FALSE
BRA,BRA,Brazil,Member,FALSE,FALSE,TRUE,,TRUE,FALSE
BRB,BRB,Barbados,Member,FALSE,FALSE,TRUE,,TRUE,TRUE
BRN,BRN,Brunei Darussalam,Member,FALSE,FALSE,TRUE,,TRUE,FALSE
BTN,BTN,Bhutan,Observer,FALSE,FALSE,TRUE,LDC,TRUE,FALSE
BWA,BWA,Botswana,Member,FALSE,FALSE,TRUE,,TRUE,FALSE
CAF,CAF,Central African Republic,Member,FALSE,FALSE,TRUE,LDC,TRUE,FALSE
CAN,CAN,Canada,Member,FALSE,FALSE,TRUE,Developed,TRUE,FALSE
CHE,CHE,Switzerland,Member,FALSE,FALSE,TRUE,Developed,TRUE,FALSE
CHL,CHL,Chile,Member,FALSE,FALSE,TRUE,Developing,TRUE,FALSE
CHN,CHN,China,Member,FALSE,FALSE,TRUE,,TRUE,FALSE
CIV,CIV,Cote d'Ivoire,Member,FALSE,FALSE,TRUE,,TRUE,FALSE
CMR,CMR,Cameroon,Member,FALSE,FALSE,TRUE,,TRUE,FALSE
COD,COD,Democratic Republic of the Congo,Member,FALSE,FALSE,TRUE,LDC,TRUE,FALSE
COG,COG,Congo,Member,FALSE,FALSE,TRUE,,TRUE,FALSE
COK,COK,Cook Islands,Non-Member,FALSE,FALSE,TRUE,,FALSE,TRUE
COL,COL,Colombia,Member,FALSE,FALSE,TRUE,,TRUE,FALSE
COM,COM,Comoros,Observer,FALSE,FALSE,TRUE,LDC,TRUE,TRUE
CPV,CPV,Cabo Verde,Member,FALSE,FALSE,TRUE,,TRUE,TRUE
CRI,CRI,Costa Rica,Member,FALSE,FALSE,TRUE,,TRUE,FALSE
CUB,CUB,Cuba,Member,FALSE,FALSE,TRUE,,TRUE,TRUE
CYP,CYP,Cyprus,Member,TRUE,FALSE,TRUE,,TRUE,FALSE
CZE,CZE,Czech Republic,Member,TRUE,FALSE,TRUE,Developed,TRUE,FALSE
DEU,DEU,Germany,Member,TRUE,FALSE,TRUE,Developed,TRUE,FALSE
DJI,DJI,Djibouti,Member,FALSE,FALSE,TRUE,LDC,TRUE,FALSE
DMA,DMA,Dominica,Member,FALSE,FALSE,TRUE,,TRUE,TRUE
DNK,DNK,Denmark,Member,TRUE,FALSE,TRUE,Developed,TRUE,FALSE
FRO,DNK,,,FALSE,TRUE,TRUE,,TRUE,FALSE
GRL,DNK,,,FALSE,TRUE,TRUE,,TRUE,FALSE
DOM,DOM,Dominican Republic,Member,FALSE,FALSE,TRUE,,TRUE,TRUE
DZA,DZA,Algeria,Observer,FALSE,FALSE,TRUE,,TRUE,FALSE
ECU,ECU,Ecuador,Member,FALSE,FALSE,TRUE,,TRUE,FALSE
EGY,EGY,Egypt,Member,FALSE,FALSE,TRUE,,TRUE,FALSE
ERI,ERI,Eritrea,Non-Member,FALSE,FALSE,TRUE,LDC,FALSE,FALSE
ESP,ESP,Spain,Member,TRUE,FALSE,TRUE,Developed,TRUE,FALSE
EST,EST,Estonia,Member,TRUE,FALSE,TRUE,Developed,TRUE,FALSE
ETH,ETH,Ethiopia,Observer,FALSE,FALSE,TRUE,LDC,TRUE,FALSE
FIN,FIN,Finland,Member,TRUE,FALSE,TRUE,Developed,TRUE,FALSE
FJI,FJI,Fiji,Member,FALSE,FALSE,TRUE,,TRUE,TRUE
FRA,FRA,France,Member,TRUE,FALSE,TRUE,Developed,TRUE,FALSE
ATF,FRA,,,FALSE,TRUE,FALSE,,TRUE,FALSE
BLM,FRA,,,FALSE,TRUE,TRUE,,TRUE,FALSE
CPT,FRA,,,FALSE,TRUE,FALSE,,TRUE,FALSE
GLP,FRA,,,FALSE,TRUE,TRUE,,TRUE,TRUE
GUF,FRA,,,FALSE,TRUE,TRUE,,TRUE,FALSE
MAF,FRA,,,FALSE,TRUE,TRUE,,TRUE,FALSE
MTQ,FRA,,,FALSE,TRUE,TRUE,,TRUE,TRUE
MYT,FRA,,,FALSE,TRUE,TRUE,,TRUE,FALSE
NCL,FRA,,,FALSE,TRUE,TRUE,,TRUE,TRUE
PYF,FRA,,,FALSE,TRUE,TRUE,,TRUE,TRUE
REU,FRA,,,FALSE,TRUE,TRUE,,TRUE,FALSE
SPM,FRA,,,FALSE,TRUE,TRUE,,TRUE,FALSE
WLF,FRA,,,FALSE,TRUE,TRUE,,TRUE,FALSE
FSM,FSM,Micronesia (Federated States of),Non-Member,FALSE,FALSE,TRUE,,FALSE,TRUE
GAB,GAB,Gabon,Member,FALSE,FALSE,TRUE,,TRUE,FALSE
GBR,GBR,United Kingdom,Member,TRUE,FALSE,TRUE,Developed,TRUE,FALSE
AIA,GBR,,,FALSE,TRUE,FALSE,,TRUE,TRUE
ASC,GBR,,,FALSE,TRUE,TRUE,,TRUE,FALSE
BMU,GBR,,,FALSE,TRUE,TRUE,,TRUE,TRUE
CYM,GBR,,,FALSE,TRUE,TRUE,,TRUE,TRUE
FLK,GBR,,,FALSE,TRUE,TRUE,,TRUE,FALSE
GGY,GBR,,,FALSE,TRUE,TRUE,,TRUE,FALSE
GIB,GBR,,,FALSE,TRUE,TRUE,,TRUE,FALSE
IMN,GBR,,,FALSE,TRUE,TRUE,,TRUE,FALSE
IOT,GBR,,,FALSE,TRUE,FALSE,,TRUE,FALSE
JEY,GBR,,,FALSE,TRUE,TRUE,,TRUE,FALSE
MSR,GBR,,,FALSE,TRUE,TRUE,,TRUE,TRUE
PCN,GBR,,,FALSE,TRUE,TRUE,,TRUE,FALSE
SGS,GBR,,,FALSE,TRUE,FALSE,,TRUE,FALSE
SHN,GBR,,,FALSE,TRUE,TRUE,,TRUE,FALSE
TAA,GBR,,,FALSE,TRUE,TRUE,,TRUE,FALSE
TCA,GBR,,,FALSE,TRUE,TRUE,,TRUE,TRUE
VGB,GBR,,,FALSE,TRUE,TRUE,,TRUE,TRUE
GEO,GEO,Georgia,Member,FALSE,FALSE,TRUE,Developed,TRUE,FALSE
GHA,GHA,Ghana,Member,FALSE,FALSE,TRUE,,TRUE,FALSE
GIN,GIN,Guinea,Member,FALSE,FALSE,TRUE,LDC,TRUE,FALSE
GMB,GMB,Gambia,Member,FALSE,FALSE,TRUE,LDC,TRUE,FALSE
GNB,GNB,Guinea-Bissau,Member,FALSE,FALSE,TRUE,LDC,TRUE,TRUE
GNQ,GNQ,Equatorial Guinea,Observer,FALSE,FALSE,TRUE,,TRUE,FALSE
GRC,GRC,Greece,Member,TRUE,FALSE,TRUE,Developed,TRUE,FALSE
GRD,GRD,Grenada,Member,FALSE,FALSE,TRUE,,TRUE,TRUE
GTM,GTM,Guatemala,Member,FALSE,FALSE,TRUE,,TRUE,FALSE
GUY,GUY,Guyana,Member,FALSE,FALSE,TRUE,,TRUE,TRUE
HKG,HKG,"Hong Kong, China",Member,FALSE,FALSE,TRUE,,TRUE,FALSE
HND,HND,Honduras,Member,FALSE,FALSE,TRUE,,TRUE,FALSE
HRV,HRV,Croatia,Member,TRUE,FALSE,TRUE,,TRUE,FALSE
HTI,HTI,Haiti,Member,FALSE,FALSE,TRUE,LDC,TRUE,TRUE
HUN,HUN,Hungary,Member,TRUE,FALSE,TRUE,Developed,TRUE,FALSE
IDN,IDN,Indonesia,Member,FALSE,FALSE,TRUE,,TRUE,FALSE
IND,IND,India,Member,FALSE,FALSE,TRUE,,TRUE,FALSE
IRL,IRL,Ireland,Member,TRUE,FALSE,TRUE,Developed,TRUE,FALSE
IRN,IRN,Iran,Observer,FALSE,FALSE,TRUE,,TRUE,FALSE
IRQ,IRQ,Iraq,Observer,FALSE,FALSE,TRUE,,TRUE,FALSE
ISL,ISL,Iceland,Member,FALSE,FALSE,TRUE,Developed,TRUE,FALSE
ISR,ISR,Israel,Member,FALSE,FALSE,TRUE,Developed,TRUE,FALSE
ITA,ITA,Italy,Member,TRUE,FALSE,TRUE,Developed,TRUE,FALSE
JAM,JAM,Jamaica,Member,FALSE,FALSE,TRUE,,TRUE,TRUE
JOR,JOR,Jordan,Member,FALSE,FALSE,TRUE,,TRUE,FALSE
JPN,JPN,Japan,Member,FALSE,FALSE,TRUE,Developed,TRUE,FALSE
KAZ,KAZ,Kazakhstan,Member,FALSE,FALSE,TRUE,Developed,TRUE,FALSE
KEN,KEN,Kenya,Member,FALSE,FALSE,TRUE,,TRUE,FALSE
KGZ,KGZ,Kyrgyz Republic,Member,FALSE,FALSE,TRUE,Developed,TRUE,FALSE
KHM,KHM,Cambodia,Member,FALSE,FALSE,TRUE,LDC,TRUE,FALSE
KIR,KIR,Kiribati,Non-Member,FALSE,FALSE,TRUE,LDC,FALSE,TRUE
KNA,KNA,Saint Kitts and Nevis,Member,FALSE,FALSE,TRUE,,TRUE,TRUE
KOR,KOR,"Korea, Republic of",Member,FALSE,FALSE,TRUE,Developing,TRUE,FALSE
KWT,KWT,"Kuwait, the State of",Member,FALSE,FALSE,TRUE,,TRUE,FALSE
LAO,LAO,Lao People's Democratic Republic,Member,FALSE,FALSE,TRUE,LDC,TRUE,FALSE
LBN,LBN,Lebanese Republic,Observer,FALSE,FALSE,TRUE,,TRUE,FALSE
LBR,LBR,Liberia,Member,FALSE,FALSE,TRUE,LDC,TRUE,FALSE
LBY,LBY,Libya,Observer,FALSE,FALSE,TRUE,,TRUE,FALSE
LCA,LCA,Saint Lucia,Member,FALSE,FALSE,TRUE,,TRUE,TRUE
LIE,LIE,Liechtenstein,Member,FALSE,FALSE,TRUE,,TRUE,FALSE
LKA,LKA,Sri Lanka,Member,FALSE,FALSE,TRUE,,TRUE,FALSE
LSO,LSO,Lesotho,Member,FALSE,FALSE,TRUE,LDC,TRUE,FALSE
LTU,LTU,Lithuania,Member,TRUE,FALSE,TRUE,Developed,TRUE,FALSE
LUX,LUX,Luxembourg,Member,TRUE,FALSE,TRUE,Developed,TRUE,FALSE
LVA,LVA,Latvia,Member,TRUE,FALSE,TRUE,Developed,TRUE,FALSE
MAC,MAC,"Macao, China",Member,FALSE,FALSE,TRUE,,TRUE,FALSE
MAR,MAR,Morocco,Member,FALSE,FALSE,TRUE,,TRUE,FALSE
ESH,MAR,,,FALSE,TRUE,TRUE,,TRUE,FALSE
MCO,MCO,Monaco,Non-Member,FALSE,FALSE,TRUE,Developed,FALSE,FALSE
MDA,MDA,"Moldova, Republic of",Member,FALSE,FALSE,TRUE,Developed,TRUE,FALSE
MDG,MDG,Madagascar,Member,FALSE,FALSE,TRUE,LDC,TRUE,FALSE
MDV,MDV,Maldives,Member,FALSE,FALSE,TRUE,,TRUE,TRUE
MEX,MEX,Mexico,Member,FALSE,FALSE,TRUE,Developing,TRUE,FALSE
MHL,MHL,Marshall Islands,Non-Member,FALSE,FALSE,TRUE,,FALSE,TRUE
MKD,MKD,North Macedonia,Member,FALSE,FALSE,TRUE,Developed,TRUE,FALSE
MLI,MLI,Mali,Member,FALSE,FALSE,TRUE,LDC,TRUE,FALSE
MLT,MLT,Malta,Member,TRUE,FALSE,TRUE,,TRUE,FALSE
MMR,MMR,Myanmar,Member,FALSE,FALSE,TRUE,LDC,TRUE,FALSE
MNE,MNE,Montenegro,Member,FALSE,FALSE,TRUE,Developed,TRUE,FALSE
MNG,MNG,Mongolia,Member,FALSE,FALSE,TRUE,,TRUE,FALSE
MOZ,MOZ,Mozambique,Member,FALSE,FALSE,TRUE,LDC,TRUE,FALSE
MRT,MRT,Mauritania,Member,FALSE,FALSE,TRUE,LDC,TRUE,FALSE
MUS,MUS,Mauritius,Member,FALSE,FALSE,TRUE,,TRUE,TRUE
MWI,MWI,Malawi,Member,FALSE,FALSE,TRUE,LDC,TRUE,FALSE
MYS,MYS,Malaysia,Member,FALSE,FALSE,TRUE,,TRUE,FALSE
NAM,NAM,Namibia,Member,FALSE,FALSE,TRUE,,TRUE,FALSE
NER,NER,Niger,Member,FALSE,FALSE,TRUE,LDC,TRUE,FALSE
NGA,NGA,Nigeria,Member,FALSE,FALSE,TRUE,,TRUE,FALSE
NIC,NIC,Nicaragua,Member,FALSE,FALSE,TRUE,,TRUE,FALSE
NIU,NIU,Niue,Non-Member,FALSE,FALSE,TRUE,,FALSE,TRUE
NLD,NLD,Netherlands,Member,TRUE,FALSE,TRUE,Developed,TRUE,FALSE
ABW,NLD,,,FALSE,TRUE,TRUE,,TRUE,TRUE
ANT,NLD,,,FALSE,TRUE,TRUE,,TRUE,FALSE
BES,NLD,,,FALSE,TRUE,TRUE,,TRUE,FALSE
SXM,NLD,,,FALSE,TRUE,TRUE,,TRUE,TRUE
CUW,NLD,Curacao,Observer,FALSE,TRUE,TRUE,Developing,TRUE,TRUE
NOR,NOR,Norway,Member,FALSE,FALSE,TRUE,Developed,TRUE,FALSE
BVT,NOR,,,FALSE,TRUE,FALSE,,TRUE,FALSE
SJM,NOR,,,FALSE,TRUE,TRUE,,TRUE,FALSE
NPL,NPL,Nepal,Member,FALSE,FALSE,TRUE,LDC,TRUE,FALSE
NRU,NRU,Nauru,Non-Member,FALSE,FALSE,TRUE,,FALSE,TRUE
NZL,NZL,New Zealand,Member,FALSE,FALSE,TRUE,Developed,TRUE,FALSE
TKL,NZL,Tokelau,,FALSE,TRUE,TRUE,,TRUE,FALSE
OMN,OMN,Oman,Member,FALSE,FALSE,TRUE,,TRUE,FALSE
PAK,PAK,Pakistan,Member,FALSE,FALSE,TRUE,,TRUE,FALSE
PAN,PAN,Panama,Member,FALSE,FALSE,TRUE,,TRUE,FALSE
PER,PER,Peru,Member,FALSE,FALSE,TRUE,,TRUE,FALSE
PHL,PHL,Philippines,Member,FALSE,FALSE,TRUE,,TRUE,FALSE
PLW,PLW,Palau,Non-Member,FALSE,FALSE,TRUE,,FALSE,TRUE
PNG,PNG,Papua New Guinea,Member,FALSE,FALSE,TRUE,,TRUE,TRUE
POL,POL,Poland,Member,TRUE,FALSE,TRUE,Developed,TRUE,FALSE
PRK,PRK,Democratic People's Republic of Korea,Non-Member,FALSE,FALSE,TRUE,,FALSE,FALSE
PRT,PRT,Portugal,Member,TRUE,FALSE,TRUE,Developed,TRUE,FALSE
PRY,PRY,Paraguay,Member,FALSE,FALSE,TRUE,,TRUE,FALSE
PSE,PSE,Palestine,Non-Member,FALSE,FALSE,TRUE,,FALSE,FALSE
QAT,QAT,Qatar,Member,FALSE,FALSE,TRUE,,TRUE,FALSE
ROU,ROU,Romania,Member,TRUE,FALSE,TRUE,,TRUE,FALSE
RUS,RUS,Russian Federation,Member,FALSE,FALSE,TRUE,Developed,TRUE,FALSE
RWA,RWA,Rwanda,Member,FALSE,FALSE,TRUE,LDC,TRUE,FALSE
SAU,SAU,"Saudi Arabia, Kingdom of",Member,FALSE,FALSE,TRUE,,TRUE,FALSE
SDN,SDN,Sudan,Observer,FALSE,FALSE,TRUE,LDC,TRUE,FALSE
SEN,SEN,Senegal,Member,FALSE,FALSE,TRUE,LDC,TRUE,FALSE
SGP,SGP,Singapore,Member,FALSE,FALSE,TRUE,,TRUE,TRUE
SLB,SLB,Solomon Islands,Member,FALSE,FALSE,TRUE,LDC,TRUE,TRUE
SLE,SLE,Sierra Leone,Member,FALSE,FALSE,TRUE,LDC,TRUE,FALSE
SLV,SLV,El Salvador,Member,FALSE,FALSE,TRUE,,TRUE,FALSE
SMR,SMR,San Marino,Non-Member,FALSE,FALSE,TRUE,Developed,TRUE,FALSE
SOM,SOM,Somalia,Observer,FALSE,FALSE,TRUE,LDC,TRUE,FALSE
SRB,SRB,Serbia,Observer,FALSE,FALSE,TRUE,Developed,TRUE,FALSE
SSD,SSD,South Sudan,Observer,FALSE,FALSE,TRUE,LDC,TRUE,FALSE
STP,STP,Sao Tome and Principe,Observer,FALSE,FALSE,TRUE,LDC,TRUE,TRUE
SUR,SUR,Suriname,Member,FALSE,FALSE,TRUE,,TRUE,TRUE
SVK,SVK,Slovak Republic,Member,TRUE,FALSE,TRUE,Developed,TRUE,FALSE
SVN,SVN,Slovenia,Member,TRUE,FALSE,TRUE,Developed,TRUE,FALSE
SWE,SWE,Sweden,Member,TRUE,FALSE,TRUE,Developed,TRUE,FALSE
SWZ,SWZ,Eswatini,Member,FALSE,FALSE,TRUE,,TRUE,FALSE
SYC,SYC,Seychelles,Member,FALSE,FALSE,TRUE,,TRUE,TRUE
SYR,SYR,Syrian Arab Republic,Observer,FALSE,FALSE,TRUE,,TRUE,FALSE
TCD,TCD,Chad,Member,FALSE,FALSE,TRUE,LDC,TRUE,FALSE
TGO,TGO,Togo,Member,FALSE,FALSE,TRUE,LDC,TRUE,FALSE
THA,THA,Thailand,Member,FALSE,FALSE,TRUE,,TRUE,FALSE
TJK,TJK,Tajikistan,Member,FALSE,FALSE,TRUE,Developed,TRUE,FALSE
TKM,TKM,Turkmenistan,Non-Member,FALSE,FALSE,TRUE,Developed,FALSE,FALSE
TLS,TLS,Timor-Leste,Observer,FALSE,FALSE,TRUE,LDC,TRUE,TRUE
TON,TON,Tonga,Member,FALSE,FALSE,TRUE,,TRUE,TRUE
TTO,TTO,Trinidad and Tobago,Member,FALSE,FALSE,TRUE,,TRUE,TRUE
TUN,TUN,Tunisia,Member,FALSE,FALSE,TRUE,,TRUE,FALSE
TUR,TUR,Turkey,Member,FALSE,FALSE,TRUE,Developing,TRUE,FALSE
TUV,TUV,Tuvalu,Non-Member,FALSE,FALSE,TRUE,LDC,FALSE,TRUE
TWN,TWN,Chinese Taipei,Member,FALSE,FALSE,TRUE,,TRUE,FALSE
TZA,TZA,Tanzania,Member,FALSE,FALSE,TRUE,LDC,TRUE,FALSE
UGA,UGA,Uganda,Member,FALSE,FALSE,TRUE,LDC,TRUE,FALSE
UKR,UKR,Ukraine,Member,FALSE,FALSE,TRUE,Developed,TRUE,FALSE
URY,URY,Uruguay,Member,FALSE,FALSE,TRUE,,TRUE,FALSE
USA,USA,United States,Member,FALSE,FALSE,TRUE,Developed,TRUE,FALSE
ASM,USA,,,FALSE,TRUE,TRUE,,TRUE,TRUE
GUM,USA,,,FALSE,TRUE,TRUE,,TRUE,TRUE
MNP,USA,,,FALSE,TRUE,TRUE,,TRUE,TRUE
PRI,USA,,,FALSE,TRUE,TRUE,,TRUE,TRUE
UMI,USA,,,FALSE,TRUE,FALSE,,TRUE,FALSE
VIR,USA,,,FALSE,TRUE,TRUE,,TRUE,TRUE
UZB,UZB,Uzbekistan,Observer,FALSE,FALSE,TRUE,Developed,TRUE,FALSE
VAT,VAT,Holy See,Observer,FALSE,FALSE,TRUE,,TRUE,FALSE
VCT,VCT,Saint Vincent and the Grenadines,Member,FALSE,FALSE,TRUE,,TRUE,TRUE
VEN,VEN,"Venezuela, Bolivarian Republic of",Member,FALSE,FALSE,TRUE,,TRUE,FALSE
VNM,VNM,Viet Nam,Member,FALSE,FALSE,TRUE,,TRUE,FALSE
VUT,VUT,Vanuatu,Member,FALSE,FALSE,TRUE,LDC,TRUE,TRUE
WSM,WSM,Samoa,Member,FALSE,FALSE,TRUE,,TRUE,TRUE
YEM,YEM,Yemen,Member,FALSE,FALSE,TRUE,LDC,TRUE,FALSE
ZAF,ZAF,South Africa,Member,FALSE,FALSE,TRUE,,TRUE,FALSE
ZMB,ZMB,Zambia,Member,FALSE,FALSE,TRUE,LDC,TRUE,FALSE
ZWE,ZWE,Zimbabwe,Member,FALSE,FALSE,TRUE,,TRUE,FALSE
